Nom_du_festival,Code_postal_(de_la_commune_principale_de_deroulement),Commune_principale_de_deroulement,Region_principale_de_deroulement,Annee_de_creation_du_festival,Discipline_dominante,Site_internet_du_festival,Latitude,Longitude,Debut,Fin
Printemps Des Poètes,72610,Oisseau-le-Petit,Pays de la Loire,2017,"Livre, littérature",https://www.facebook.com/festivals.payshautesarthe,48.3488422257,0.0741365485752,janvier,juin
Festival International De Street Art D'Oyonnax,1100,Oyonnax,Auvergne-Rhône-Alpes,2017,"Arts visuels, arts numériques",http://streetarthautbugey.webnode.fr,46.2605435859,5.65344320923,juin,septembre
Cin'Estival,91120,Palaiseau,Île-de-France,2010,"Cinéma, audiovisuel",www.cinepal.fr,48.7146765876,2.22881488083,juin,septembre
Coulée Douce,75012,Paris,Île-de-France,2000,Spectacle vivant,https://progeniture.fr,48.8567,2.3508,juin,septembre
Festival Des Cinémas Différents Et Expérimentaux De Paris,75005,Paris,Île-de-France,1999,"Cinéma, audiovisuel",www.cjcinema.org,48.8567,2.3508,septembre,décembre
Paris Courts Devant,75017,Paris,Île-de-France,2004,"Cinéma, audiovisuel",courtsdevant.com,48.8567,2.3508,septembre,décembre
De Bouche À Oreille,79200,Parthenay,Nouvelle-Aquitaine,1987,Spectacle vivant,http://www.metive.org/,46.6453493842,-0.233028439198,juin,septembre
Les Nuits De La Guitare,20253,Patrimonio,Corse,1988,Musique,https://festival-guitare-patrimonio.com,42.7066867042,9.3670488048,juin,septembre
Les Vendanges Du 7E Art,33250,Pauillac,Nouvelle-Aquitaine,2015,"Cinéma, audiovisuel",www.vendangesdu7emeart.fr,45.1990068041,-0.758200153521,juin,septembre
Festival Confrontation,66000,Perpignan,Occitanie,1964,"Cinéma, audiovisuel",inst-jeanvigo.eu,42.6965954131,2.89936953979,janvier,juin
Festival Romantique Du Loir,41100,Pezou,Centre-Val de Loire,2014,Musique,https://www.festival-romantique-du-loir.com/,47.8682993601,1.14633634068,septembre,décembre
Pool Art Fair,97110,Pointe-à-Pitre,Guadeloupe,2004 à New York et 2009 en Guadeloupe,"Arts visuels, arts numériques",http://www.poolartfair.com/,16.2386006963,-61.5357180881,juin,septembre
Poitiers Film Festival,86000,Poitiers,Nouvelle-Aquitaine,1978,"Cinéma, audiovisuel",https://poitiersfilmfestival.com/,46.5839207726,0.359947653003,septembre,décembre
Fête Des Brodeuses,29120,Pont-l'Abbé,Bretagne,1954,Pluridisciplinaire,en réfection,47.8654885488,-4.21962319652,juin,septembre
Les Ciné-Rencontres De Prades,66500,Prades,Occitanie,1959,"Cinéma, audiovisuel",https://www.cine-rencontres.org/,42.6145021996,2.43074849066,juin,septembre
Un Bol D'Airs,81990,Puygouzon,Occitanie,2006,Spectacle vivant,https://www.boldairs.net/,43.8884573228,2.16955643928,septembre,décembre
Musique Aux 4 Horizons,70250,Ronchamp,Bourgogne-Franche-Comté,2013,Musique,musiqueaux4horizons.com,47.7159736796,6.63465984032,juin,septembre
Hillbilly Pop,37360,Rouziers-de-Touraine,Centre-Val de Loire,2016,Musique,www.festival-hillbilly-bop.com,47.5311263676,0.647449146554,septembre,décembre
Les Jeudis Musicaux,17200,Royan,Nouvelle-Aquitaine,1989,Musique,http://www.agglo-royan.fr,45.6346574238,-1.01791403375,juin,septembre
Festival Guitares Du Monde,10120,Saint-André-les-Vergers,Grand Est,1996,Musique,www.espacegerardphilipe.com,48.2782659904,4.04840305057,janvier,juin
Festival Passage,14750,Saint-Aubin-sur-Mer,Normandie,2018,"Cinéma, audiovisuel",http://festivalpassage.fr/,49.3224328819,-0.39282763592,septembre,décembre
Rendez-Vous À Saint-Briac,35800,Saint-Briac-sur-Mer,Bretagne,2015,"Arts visuels, arts numériques",festivartsaintbriac.fr,48.6163388225,-2.12358766004,janvier,juin
L'Atelier Des Mots,42400,Saint-Chamond,Auvergne-Rhône-Alpes,2018,"Livre, littérature",https://www.facebook.com/salondulivresaintchamond/,45.4698319517,4.50184989506,janvier,juin
Festival Philosophia,33330,Saint-Émilion,Nouvelle-Aquitaine,2007,"Livre, littérature",www.festival-philosophia.com,44.8999911844,-0.169955105989,janvier,juin
Festival Du Film Taurin Et Camarguais,30190,Saint-Geniès-de-Malgoirès,Occitanie,1998,"Cinéma, audiovisuel",https://www.flanerbouger.fr/events/festivals/30190-festival-du-film-taurin-et-camarguais-saint-genies-de-malgoires-840524,43.94623194,4.2131714959,janvier,juin
Saint Jazz Sur Vie,85800,Saint-Gilles-Croix-de-Vie,Pays de la Loire,1984,Musique,www.saint-jazz-sur-vie.com,46.6904708814,-1.91946363327,janvier,juin
Barbara,38160,Saint-Marcellin,Auvergne-Rhône-Alpes,2000,Spectacle vivant,www.diapason-saint-marcellin.fr,45.1534136901,5.31720171085,juin,septembre
Printemps De L'Arribera,64270,Saint-Pé-de-Léren,Nouvelle-Aquitaine,2007,Spectacle vivant,http://loprimtempsdelarribera.com/qui-sommes-nous/,43.4909560582,-1.03877508063,janvier,juin
Festival Des Orgues,45310,Saint-Péravy-la-Colombe,Centre-Val de Loire,2001,Musique,https://www.saintperavylacolombe.fr/?p=4108,48.0029552851,1.69290201478,septembre,décembre
Festival L'Union Des Écoles,87480,Saint-Priest-Taurion,Nouvelle-Aquitaine,2017,Spectacle vivant,http://www.academietheatrelimoges.com,45.8976553193,1.3966265023,janvier,juin
Estival Saint-Riquier,80135,Saint-Riquier,Hauts-de-France,1984,Musique,https://www.abbaye-saint-riquier.fr/,50.1279792191,1.94290239471,juin,septembre
Festival De Saint Robert,47340,Saint-Robert,Nouvelle-Aquitaine,1973,Musique,http://www.festival-saint-robert.com/,44.2501427402,0.78976956588,juin,septembre
Saint-Sulpice De Rire,81270,Saint-Sulpice-La-Pointe,Occitanie,2012,Spectacle vivant,http://www.stsulpicederire.fr/,43.7589885163,1.68659997767,septembre,décembre
Festival Handi Blues,17370,Saint-Trojan-les-Bains,Nouvelle-Aquitaine,2010,Spectacle vivant,http://foyerlannelongue.free.fr/handiblues/,45.8319189499,-1.22713007046,janvier,juin
Salins Sur Scènes,39110,Salins-les-Bains,Bourgogne-Franche-Comté,2016,Spectacle vivant,lesurbaindigenes.com/festival-salins-sur-scenes/,46.9478351925,5.89762240995,septembre,décembre
Fête & Détours De La Lumière,12800,Sauveterre-De-Rouergue,Occitanie,1985,Spectacle vivant,https://www.fete-detoursdelalumiere.fr/,44.2478234048,2.31504773118,juin,septembre
L’Arbre Qui Marche,49305,Segré-en-Anjou Bleu,Pays de la Loire,2019,Musique,https://www.larbrequimarche.asso.fr/,47.7016654227,-0.863354104119,juin,septembre
Les Rencontres De Moguériec,29250,Sibiril,Bretagne,2019,"Livre, littérature","Page FaceBook/Evénement, Les Rencontres de Moguériec",48.6638575511,-4.07209865106,janvier,juin
Festival Bd De Solliès-Ville,83210,Solliès-Ville,Provence-Alpes-Côte d'Azur,1989,"Livre, littérature",www.festivalbd.com,43.1784166306,6.01726722545,juin,septembre
Festival Du Film Palestinien,67000,Strasbourg,Grand Est,2015,"Cinéma, audiovisuel",https://www.facebook.com/FestivalFilmPalestinienStrasbourg,48.5712679849,7.76752679517,janvier,juin
"Giboul'Off, Marionnette Et Arts Associés",67000,Strasbourg,Grand Est,2005,Spectacle vivant,www.gibouloff.fr,48.5712679849,7.76752679517,janvier,juin
Touch Me - Biennale D’Art Contemporain De Strasbourg,67000,Strasbourg,Grand Est,01/01/2018 00:00,"Arts visuels, arts numériques",http://biennale-strasbourg.eu/,48.5712679849,7.76752679517,janvier,juin
Festival Odptalence,33400,Talence,Nouvelle-Aquitaine,2015,Musique,http://www.festival-odp.com/,44.8060817507,-0.591124592873,janvier,juin
Salon Du Livre De Ripaille,74200,Thonon-les-Bains,Auvergne-Rhône-Alpes,1977,"Livre, littérature",https://www.facebook.com/chateauderipaillefondationripaille/photos/-salon-du-livre-de-ripaille-2022-ouverture-des-inscriptions-aux-auteurs-%C3%A0-vos-cr/3223830124497928/,46.3704258049,6.48194336071,septembre,décembre
La Cinémathèque Junior En Fête !,31000,Toulouse,Occitanie,2019,"Cinéma, audiovisuel",https://www.lacinemathequedetoulouse.com/programmation/festivals/cinematheque-junior-en-fete,43.5963814303,1.43167293364,septembre,décembre
Grange Ta Cour,71700,Tournus,Bourgogne-Franche-Comté,2019,Musique,https://www.facebook.com/RuedesgrangesTournus,46.5651726015,4.90012429206,janvier,juin
A Tours De Bulles,37000,Tours,Centre-Val de Loire,2005,"Livre, littérature",https://www.atoursdebulles.fr,47.3986382281,0.696526376417,septembre,décembre
Festival A L'Ouest,14360,Trouville-sur-Mer,Normandie,2019,"Cinéma, audiovisuel",aucun,49.3721246762,0.102123470052,septembre,décembre
Just Classik Festival,10000,Troyes,Grand Est,2018,Musique,https://www.justclassikfestival.fr,48.2967099637,4.07827967525,septembre,décembre
La Cour Des Contes,26000,Valence,Auvergne-Rhône-Alpes,2013,"Livre, littérature",https://www.lacourdescontes.ch/telechargements,44.9229811667,4.91444013136,janvier,juin
Les Rencontres D'Illustrateurs,44120,Vertou,Pays de la Loire,2003,"Arts visuels, arts numériques",http://lescarnetsdadeline.com/18e-rencontres-dillustrateurs-vertou/,47.1603732625,-1.47052291749,septembre,décembre
Les Veyracomusies,87520,Veyrac,Nouvelle-Aquitaine,1987,Spectacle vivant,http://www.veyracomusies.com/,45.9034537819,1.09001899064,janvier,juin
Hal'Art,54330,Vézelise,Grand Est,2000,"Arts visuels, arts numériques",www.assodugrenierdeshalles.fr,48.4830480647,6.09399935525,septembre,décembre
Lettres Sur Cour,38200,Vienne,Auvergne-Rhône-Alpes,1992,"Livre, littérature",https://www.jazzavienne.com/fr/programmation-2022/lettres-sur-cour,45.520578372,4.88135156154,juin,septembre
Livres En Vignes,21640,Vougeot,Bourgogne-Franche-Comté,2008,"Livre, littérature",www.livresenvignes.fr,47.174271631,4.95989664941,septembre,décembre
L'Outre Festival,67160,Wissembourg,Grand Est,2009,Musique,nef-wissembourg.fr,49.0184562539,7.96174575912,juin,septembre
Les Amis De L'Orgue,34300,Agde,Occitanie,2009,Musique,https://www.ville-agde.fr/annuaire/culture-patrimoine/musique/les-amis-des-orgues-d-agde,43.309129116,3.48447903133,juin,septembre
La Photo Se Livre,13090,Aix-en-Provence,Provence-Alpes-Côte d'Azur,2015,"Arts visuels, arts numériques",www.fontaine-obscure.com,43.5360708378,5.39857444582,janvier,juin
"Les Instants Ludiques, Festival Des Jeux Et Arts Ludiques",13100,Aix-en-Provence,Provence-Alpes-Côte d'Azur,2017,Spectacle vivant,https://lesinstantsludiques.fr,43.5360708378,5.39857444582,septembre,décembre
Festival D'Opérette,73100,Aix-les-Bains,Auvergne-Rhône-Alpes,1989,Musique,https://festivalaixoperette.wordpress.com/,45.6978541675,5.90388626955,juin,septembre
"Festival Albi, Place(S) Aux Artistes",81000,Albi,Occitanie,2008,Spectacle vivant,https://www.mairie-albi.fr/fr/albi-places-aux-artistes-1,43.9258213622,2.14686328555,juin,septembre
Festival Poésie Et Davantage,61000,Alençon,Normandie,2018,"Livre, littérature",https://www.salondulivrealencon.fr/,48.4318193082,0.0915406916107,septembre,décembre
Confluences Nomades,80000,Amiens,Hauts-de-France,2010,Spectacle vivant,https://www.cirquejulesverne.fr/cirque-jules-verne-pole-national/confluences-nomades/,49.9009532186,2.29007445539,janvier,juin
Temps Fort Danse,42160,Andrézieux-Bouthéon,Auvergne-Rhône-Alpes,2017,Spectacle vivant,http://www.theatreduparc.com/-Temps-fort-danse-157-,45.5349913099,4.27650426979,septembre,décembre
Festival International Du Film D'Animation D'Annecy,74000,Annecy,Auvergne-Rhône-Alpes,1960,"Cinéma, audiovisuel",www.annecy.org,45.8906432566,6.12551773598,janvier,juin
Solstice,92160,Antony,Île-de-France,2000,Spectacle vivant,https://www.theatrefirmingemier-lapiscine.fr/programme/le-festival-solstice/,48.7503412602,2.2993268102,juin,septembre
Mix-Up,94110,Arceuil,Île-de-France,2018,Spectacle vivant,http://www.compagnieducercle.fr/fr/mix-up/,48.8058803597,2.33351024984,janvier,juin
Mercuria,36200,Argenton-sur-Creuse,Centre-Val de Loire,2005,Musique,http://www.festivalmercuria.fr/,46.5787862593,1.4926283101,juin,septembre
Salon Du Livre D'Expression Populaire,62000,Arras,Hauts-de-France,2002,"Livre, littérature",https://www.coleresdupresent.com/,50.2898964997,2.76587316711,janvier,juin
Auberjazzday,93300,Aubervilliers,Île-de-France,2010,Musique,https://auberjazzday.fr,48.9121722626,2.38445513768,juin,septembre
Artautun#2020,71400,Autun,Bourgogne-Franche-Comté,2018,"Arts visuels, arts numériques",http://artautun.fr/,46.945536773,4.31060069532,juin,septembre
Le Printemps Anglophone,84000,Avignon,Provence-Alpes-Côte d'Azur,2013,Spectacle vivant,www.Printempsanglophone.org,43.9352448339,4.84071572505,janvier,juin
L'Offrande Musicale,65690,Barbazan-Debat,Occitanie,2021,Musique,https://loffrandemusicale.fr,43.201851966,0.129955186604,juin,septembre
La Corne Des Pâtures,45130,Baule,Centre-Val de Loire,2015,Musique,www.lacornedespatures.com,47.8106703162,1.66824027351,juin,septembre
Esprit Flamenco,64100,Bayonne,Nouvelle-Aquitaine,2016,Spectacle vivant,http://www.facebook.com/centroculturalespanol.bayonne/,43.4922254016,-1.46607674358,juin,septembre
Conte Et Compagnies,90000,Belfort,Bourgogne-Franche-Comté,1999,"Livre, littérature",www.territoiredebelfort.fr,47.6471539414,6.84541206237,septembre,décembre
Le Mois Du Film Documentaire,90000,Belfort,Bourgogne-Franche-Comté,2000,"Cinéma, audiovisuel",https://www.territoiredebelfort.fr/evenements/le-mois-du-film-documentaire,47.6471539414,6.84541206237,septembre,décembre
Trafik,24100,Bergerac,Nouvelle-Aquitaine,2012,Spectacle vivant,http://www.melkiortheatrelagaremondiale.com/,44.8543751872,0.486529423457,septembre,décembre
La Rodia,25000,Besançon,Bourgogne-Franche-Comté,2011,Musique,https://larodia.com,47.2553872249,6.01948696494,janvier,juin
Pocofest,86470,Boivre-la-Vallée,Nouvelle-Aquitaine,2016,Musique,http://www.pocollectif.fr/,46.5433549804,0.0821497150944,janvier,juin
Pouce !,33800,Bordeaux,Nouvelle-Aquitaine,2012,Spectacle vivant,http://www.lamanufacture-cdcn.org/,44.8572445351,-0.57369678116,janvier,juin
Le Héron Voyageur,44830,Bouaye,Pays de la Loire,2017,Spectacle vivant,www.bouaye.fr,47.1473396882,-1.6725437059,janvier,juin
Eurofonik,44340,Bouguenais,Pays de la Loire,2012,Musique,www.eurofonik.fr,47.1709061678,-1.61739752858,janvier,juin
Festival Mnop,24750,Boulazac Isle Manoire,Nouvelle-Aquitaine,2001,Musique,http://mnop.fr,45.1737726952,0.769368950586,juin,septembre
Les Arcs Film Festival,73700,Bourg-Saint-Maurice,Auvergne-Rhône-Alpes,2009,"Cinéma, audiovisuel",https://lesarcs-filmfest.com/fr,45.6647980545,6.76637903907,septembre,décembre
Rock In Bourlon,62860,Bourlon,Hauts-de-France,2010,Musique,rockinbourlon.com,50.180525748,3.12077414192,juin,septembre
Dañsfabrik,29200,Brest,Bretagne,2011,Spectacle vivant,www.dansfabrik.com,48.4004997828,-4.5027907853,janvier,juin
Festival De La Vézère,19100,Brive-la-Gaillarde,Nouvelle-Aquitaine,1980,Musique,http://www.festival-vezere.com/,45.1435830664,1.51936836063,juin,septembre
Baang! Festival,14000,Caen,Normandie,2021,"Arts visuels, arts numériques",https://www.baangfestival.org,49.1847936737,-0.369801713036,septembre,décembre
Les Rencontres Musicales De Capvern,65130,Capvern,Occitanie,2005,Musique,https://www.lasemainedespyrenees.fr/2021/08/28/capvern-une-cloture-des-rencontres-musicales-qui-ne-pourra-que-tenir-ses-promesses/,43.1070380886,0.331958446057,juin,septembre
Festival De Carcassonne,11000,Carcassonne,Occitanie,2005,Spectacle vivant,www.festivaldecarcassonne.fr,43.2093798444,2.34398855385,juin,septembre
Salés Sucrés,79140,Cerizay,Nouvelle-Aquitaine,2006,Spectacle vivant,http://www.cerizay.fr,46.8217311036,-0.672469385521,janvier,juin
Bulles En Loire,49290,Chalonnes-sur-Loire,Pays de la Loire,1988,"Livre, littérature",http://www.bullesenloire.calonnanim.fr,47.3494785235,-0.772675582911,janvier,juin
Les Semeurs Du Val D'Amour,39380,Chamblay,Bourgogne-Franche-Comté,2000,Spectacle vivant,www.lessemeursduvaldamour.fr,46.9910483853,5.70335674232,juin,septembre
Popoppidum Festival,39300,Champagnole,Bourgogne-Franche-Comté,2010,Musique,http://www.popoppidum.com,46.7445389751,5.8988102947,janvier,juin
Livre En Fête – Salon Du Livre Du Grand Périgueux,24750,Champcevinel,Nouvelle-Aquitaine,2009,"Livre, littérature",www.livrenfete.fr,45.2212466708,0.725037549995,janvier,juin
La Forêt Des Livres,37600,Chanceaux-près-Loches,Centre-Val de Loire,1996,"Livre, littérature",lesecrivainschez gonzaguesaintbris.com,47.1409474876,0.939622446092,juin,septembre
Blues In Haut Anjou,53200,Château-Gontier-sur-Mayenne,Pays de la Loire,2013,Musique,http://bluesinhautanjou.com/,47.8290067122,-0.738721767875,juin,septembre
Vidéoformes,630000,Clermont-Ferrand,Auvergne-Rhône-Alpes,1986,"Arts visuels, arts numériques",https://videoformes.com,45.7856492991,3.11554542903,janvier,juin
La Reverdie,89100,Collemiers,Bourgogne-Franche-Comté,2019,Musique,http://www.obsidienne.fr/crbst_77.html,48.153962733,3.22037217648,janvier,juin
"Festival Les Filmeurs, Un Festival En Liberté",27210,Conteville,Normandie,2014,"Cinéma, audiovisuel",https://www.festivallesfilmeurs.fr/,49.4174960871,0.391276015721,juin,septembre
Crezanswing,18300,Crézancy-en-Sancerre,Centre-Val de Loire,2015,Musique,https://www.crezancyensancerre.com/lefestivalcrezanswing,47.3043105708,2.74787668704,juin,septembre
Festival Livres & Musiques De Deauville,14800,Deauville,Normandie,2004,"Livre, littérature",www.lesfranciscaines.fr,49.3543800887,0.0744665786308,janvier,juin
Planches Contact,14800,Deauville,Normandie,2010,"Arts visuels, arts numériques",www.Planchescontact.fr,49.3543800887,0.0744665786308,septembre,décembre
Plein Air,59500,Douai,Hauts-de-France,2015,Musique,http://www.pleinairfestival.fr,50.3823195335,3.09145683114,juin,septembre
Triennale Gigantisme,59240,Dunkerque,Hauts-de-France,2019,"Arts visuels, arts numériques",https://www.culture.gouv.fr/Regions/Drac-Hauts-de-France/Actualites/Gigantisme-Art-et-Industrie,51.0307229078,2.33752414095,janvier,juin
Street'Art'Magnac (Sam),32800,Eauze,Occitanie,2015,Spectacle vivant,https://www.trompe-l-oeil.info/Trompeloeil/festival.php?festival=Street-ArtMagnac-Eauze,43.8607370613,0.105730356401,janvier,juin
Journée Du Livre De Felletin,23500,Felletin,Nouvelle-Aquitaine,1995,"Livre, littérature",https://www.facebook.com/Felletin-Le-Plaisir-De-Lire-340963062772271/,45.889520976,2.18271124708,juin,septembre
Festival International Du Pastel,87220,Feytiat,Nouvelle-Aquitaine,2000,"Arts visuels, arts numériques",https://festivaldupastel.com/,45.8054368217,1.32945260238,juin,septembre
Festyvocal,42700,Firminy,Auvergne-Rhône-Alpes,2016,Musique,www.festyvocal.fr,45.3788146093,4.28879456136,septembre,décembre
Bloody Fleury,14123,Fleury-sur-Orne,Normandie,2014,"Livre, littérature",Bloody.fleurysurorne.fr,49.1444292345,-0.377619145275,janvier,juin
Carnaval Des Deux Rives,33270,Floirac,Nouvelle-Aquitaine,1996,Spectacle vivant,http://www.ville-floirac33.fr/,44.8338094646,-0.520646895866,janvier,juin
Biennale Internationale De Danse De Martinique,97200,Fort-de-France,Martinique,2016,Spectacle vivant,Tropiques Atrium.fr,14.6411114389,-61.0691889244,,
Contes Et Musique Dans La Cité,97200,Fort-de-France,Martinique,2006,Spectacle vivant,https://www.associationmartiniqueimages.com,14.6411114389,-61.0691889244,septembre,décembre
Festival De Cinéma Du Grain À Démoudre,76700,Gonfreville-l'Orcher,Normandie,2000,"Cinéma, audiovisuel",www.dugrainademoudre.net,49.4860837457,0.221985693724,septembre,décembre
Les Journées De La Harpe,97190,Gosier,Guadeloupe,1993,Musique,http://journeesdelaharpe.free.fr/,16.2252192032,-61.4698776652,,
Bd Grenoble,38000,Grenoble,Auvergne-Rhône-Alpes,1989,"Livre, littérature",http://www.editionsmosquito.com/festival-bd-grenoble/,45.1821215167,5.72133051752,janvier,juin
Cabaret Frappé,38000,Grenoble,Auvergne-Rhône-Alpes,1998,Musique,www.cabaret-frappe.com,45.1821215167,5.72133051752,juin,septembre
Les Arts Du Récit,38000,Grenoble,Auvergne-Rhône-Alpes,1987,"Livre, littérature",http://www.artsdurecit.com/,45.1821215167,5.72133051752,janvier,juin
Les Ramp'Arts De Grimaud - Salon Du Livre Jeunesse,83310,Grimaud,Provence-Alpes-Côte d'Azur,2012,"Livre, littérature",https://www.mairie-grimaud.fr/,43.2820282501,6.53303224114,janvier,juin
Guitaralde,64700,Hendaye,Nouvelle-Aquitaine,2012,Musique,www.guitaralde.fr,43.3656373687,-1.76396662,juin,septembre
Les Insulaires,56780,Iles du Ponant,Bretagne,2011,Pluridisciplinaire,www.lesinsulaires.com,47.5862523195,-2.84876733291,septembre,décembre
Bruissements D'Elles,37300,Joué-lès-Tours,Centre-Val de Loire,1998,Spectacle vivant,http://bruissementsdelles.fr/,47.333556074,0.654546300116,janvier,juin
Rencontre Des Danses Urbaines,37300,Joué-lès-Tours,Centre-Val de Loire,2000,Spectacle vivant,https://www.rdu37.info/,47.333556074,0.654546300116,septembre,décembre
Les Nuits Du 4 Août,39270,La Chailleuse,Bourgogne-Franche-Comté,2011,Musique,www.deflagration.fr,46.5722801296,5.52869424012,juin,septembre
Cocorico Electro,45240,La Ferté-Saint-Aubin,Centre-Val de Loire,2017,Musique,www.cocorico-electro.fr,47.7119750833,1.92714666074,juin,septembre
La Piste Au Soleil,6540,La Roquette-sur-Siagne,Provence-Alpes-Côte d'Azur,2005,Spectacle vivant,www.pistedazur.org,43.5849092456,6.95049794824,janvier,juin
Brikabrak,24260,Le Bugue,Nouvelle-Aquitaine,2005,Spectacle vivant,http://festival-brikabrak.fr/,44.9264427991,0.924662888033,janvier,juin
Buis Blues Festival,87140,Le Buis,Nouvelle-Aquitaine,2006,Musique,http://www.lebuisbluesfestival.com/,46.0341686702,1.20438019379,juin,septembre
Festival De Musique Du Castellet,83330,Le Castellet,Provence-Alpes-Côte d'Azur,2003,Musique,WWW.LESSOIREESDUCASTELLET.FR,43.227667489,5.76560108367,juin,septembre
Festival Piednu,76600,Le Havre,Normandie,2005,Musique,http://www.piednu.fr/festival-2019/,49.498452502,0.140153719153,janvier,juin
Festirock En Belledonne,38190,Les Adrets,Auvergne-Rhône-Alpes,2006,Musique,https://www.facebook.com/FestirockEnBelledonne/,45.2586070645,5.99155979387,janvier,juin
Zygomatic Festival,73360,Les Échelles,Auvergne-Rhône-Alpes,2009,Spectacle vivant,https://www.instinctaf.net/nos-aventures-culturelles/zygomatic-festival/,45.4514870099,5.74305650824,juin,septembre
Biennale Internationale D'Art Mural,59000,Lille,Hauts-de-France,2013,"Arts visuels, arts numériques",www.collectif-renart.com,50.6317183168,3.04783272312,janvier,juin
Ciné Soupe,59000,Lille,Hauts-de-France,2002,"Cinéma, audiovisuel",www.cinesoupe.com,50.6317183168,3.04783272312,septembre,décembre
Dire,59000,Lille,Hauts-de-France,2019,"Livre, littérature",https://www.larose.fr/saison/festival/dire.htm,50.6317183168,3.04783272312,janvier,juin
Festival International Du Court-Métrage,59000,Lille,Hauts-de-France,2000,"Cinéma, audiovisuel",www.festivalducourt-lille.com,50.6317183168,3.04783272312,janvier,juin
Festival Opération Opérette,87000,Limoges,Nouvelle-Aquitaine,2018,Spectacle vivant,http://fr-fr.facebook.com/lafollembuche/,45.8542549589,1.2487579024,juin,septembre
Journées Internationales De Lourmarin,84160,Lourmarin,Provence-Alpes-Côte d'Azur,1983,"Livre, littérature",www.rencontres-camus.com/journees,43.7780333839,5.36616174066,septembre,décembre
Festival Du Bruit Qui Pense,78350,Louveciennes,Île-de-France,2016,Musique,www.bruitquipense.com,48.8590188206,2.11364039022,janvier,juin
Village Sessions,16320,Magnac-Lavalette-Villars,Nouvelle-Aquitaine,2000,Musique,http://www.villagesession.com/,45.5088381667,0.2552082811,juin,septembre
Le Son Des Cuivres,72600,Mamers,Pays de la Loire,2013,Musique,www.festivalsondescuivres.com,48.3545313197,0.370783494811,juin,septembre
Les Primeurs De Massy,91300,Massy,Île-de-France,1998,Musique,http://lesprimeursdemassy.fr/,48.7277896426,2.27513131903,septembre,décembre
Le Livre À Metz,57000,Metz,Grand Est,1987,"Livre, littérature",www.lelivreametz.com,49.1081133279,6.1955245421,janvier,juin
Natural Games,12100,Millau,Occitanie,2008,Musique,https://www.naturalgames.fr/spring/,44.0976252203,3.11705384129,juin,septembre
Vertical'Été,5600,Mont-Dauphin,Provence-Alpes-Côte d'Azur,2006,Spectacle vivant,http://verticalete.free.fr,44.6690562408,6.62465091015,juin,septembre
L'Été Des Ateliers,93390,Montfermeil,Île-de-France,2019,Musique,https://www.ateliersmedicis.fr/,48.8982616679,2.56714354796,juin,septembre
"Dire, Lire Et Conter",3100,Montluçon,Auvergne-Rhône-Alpes,2002,"Livre, littérature",mediatheque@mairie-montlucon.fr,46.3385883496,2.60390499777,septembre,décembre
Festival Rencontres Koa Jazz,34070,Montpellier,Occitanie,2017,Musique,https://collectifkoa.com,43.6134409138,3.86851657896,juin,septembre
La Kompagnie,34070,Montpellier,Occitanie,2016,Musique,https://www.lakompagnie.org,43.6134409138,3.86851657896,janvier,juin
Festival Jean Carmet,3000,Moulins,Auvergne-Rhône-Alpes,1995,"Cinéma, audiovisuel",www.cinebocage.com,46.5624641056,3.32662040221,septembre,décembre
Les Petites Bobines,68200,Mulhouse,Grand Est,2011,"Cinéma, audiovisuel",cinebelair.org,47.749163303,7.32570047509,janvier,juin
Festival De La Bohême,31600,Muret,Occitanie,2008,Pluridisciplinaire,https://www.festivaldelaboheme.fr // https://fr-fr.facebook.com/festivalBoheme/,43.4491077783,1.30784679414,septembre,décembre
Les Acteurs De L'Ombre,44000,Nantes,Pays de la Loire,2013,Musique,https://lesacteursdelombre.net/ladlo-fest/,47.2316356767,-1.54831008605,janvier,juin
Trajectoires,44000,Nantes,Pays de la Loire,2018,Spectacle vivant,https://festival-trajectoires.com,47.2316356767,-1.54831008605,janvier,juin
La Tempora,11100,Narbonne,Occitanie,2011,Spectacle vivant,www.legrandnarbonne.com // https://culture.legrandnarbonne.com/673-la-tempora.html,43.1652399898,3.02023868739,juin,septembre
Festival De Contes,64800,Nay,Nouvelle-Aquitaine,1997,Spectacle vivant,http://www.villedenay.fr,43.1761249342,-0.263143755533,juin,septembre
Au-Delà Des Écrans,30000,Nîmes,Occitanie,2021,"Cinéma, audiovisuel",https://www.festival-audeladelecran.com/,43.844938394,4.34806796996,septembre,décembre
Rencontres Littéraires De Nogaro,32110,Nogaro,Occitanie,2005,"Livre, littérature",rencontres-litteraires-nogaro.fr,43.7612028008,-0.0306381303587,janvier,juin
A Portée De Voix,28400,Nogent-le-Rotrou,Centre-Val de Loire,2015,Musique,https://www.festivalaporteedevoix.com/,48.3176302432,0.804048016354,janvier,juin
Rencontre,45140,Ormes,Centre-Val de Loire,2010,Musique,https://www.ville-ormes.fr/,47.9478927355,1.8071403661,janvier,juin
Journées Du Livre,64300,Orthez,Nouvelle-Aquitaine,1995,"Livre, littérature",www.orthezanimation.com,43.4943173399,-0.779874853399,septembre,décembre
Les Noctambals,22200,Paimpol,Bretagne,2018,Spectacle vivant,Www.lebalmonte.com,48.7733386239,-3.05459397042,juin,septembre
Biennale Des Photographes Du Monde Arabe Contemporain,75005,Paris,Île-de-France,2015,"Arts visuels, arts numériques",http://biennalephotomondearabe.com/,48.8567,2.3508,septembre,décembre
